LOCATION_CATEGORY,INCIDENTS,TOTAL_RESPONSE_TIME,CALL_HANDLING_TIME,CREW_TURNOUT_TIME,DRIVE_TIME
Avon,1775,0.005812376,0.001053866,0.00135384,0.003404669
Bedfordshire,1204,0.005622577,0.000672315,0.001717615,0.003232646
Berkshire,1114,0.00591643,0.000922113,0.001105376,0.003888941
Buckinghamshire,1233,0.007073007,0.001289922,0.001299572,0.004483513
Cambridgeshire,1023,0.007204821,0.000720466,0.002086297,0.004398057
Cheshire,1393,0.006285088,0.00102367,0.001344694,0.003916723
Cleveland,701,0.00430468,0.000587405,0.000846327,0.002870948
Cornwall,752,0.007612324,0.001256064,0.00198206,0.004374199
Cumbria,764,0.006630096,0.000853421,0.001593995,0.004182679
Derbyshire,1436,0.006049315,0.00041337,0.001312835,0.00432311
Devon and Somerset,2683,0.006938073,0.001105296,0.002097034,0.003735742
Dorset and Wiltshire,2050,0.006533294,0.000799774,0.001970105,0.003763414
Durham,971,0.005974165,0.000652046,0.001278357,0.004043762
East Sussex,1218,0.005106818,0.000418348,0.001377353,0.003311116
Essex,2589,0.006211066,0.000745966,0.002002569,0.00346253
Gloucestershire,947,0.006619796,0.000784874,0.001786599,0.004048322
Greater London,12523,0.004928875,0.000970911,0.000896845,0.003061118
Greater Manchester,5633,0.004973194,0.001051956,0.000858474,0.003062763
Hampshire and Isle of Wight,2496,0.005392493,0.00069393,0.001329136,0.003369428
Hereford and Worcester,1093,0.006595559,0.000641572,0.002055526,0.003898461
Hertfordshire,1537,0.005606264,0.000840863,0.001413287,0.003352114
Humberside,1652,0.005640308,0.001011225,0.001392686,0.003236397
Kent,2223,0.005444651,0.000313999,0.001394814,0.003735838
Lancashire,2680,0.005225686,0.000941814,0.000939456,0.003344415
Leicestershire,1332,0.005861234,0.000823983,0.001577914,0.003459336
Lincolnshire,1188,0.007128714,0.000612344,0.002193316,0.004323053
Merseyside,2910,0.004672064,0.000941048,0.001082979,0.002648037
Norfolk,1372,0.006334806,0.000745802,0.001509185,0.004079819
North Yorkshire,1171,0.007298674,0.000968822,0.00206232,0.004267532
Northamptonshire,1161,0.006465551,0.000860658,0.001731007,0.003873885
Northumberland,578,0.006717248,0.000621796,0.001773496,0.004321955
Nottinghamshire,1890,0.005238591,0.00063353,0.000947353,0.003657707
Oxfordshire,943,0.006987574,0.00083483,0.00228348,0.003869263
Shropshire,788,0.006819142,0.000734043,0.00186842,0.004216679
South Yorkshire,2358,0.005458516,0.00090344,0.000826049,0.003729026
Staffordshire,1674,0.006233468,0.000640646,0.001656392,0.003936429
Suffolk,1139,0.006991757,0.000785777,0.002405537,0.003800442
Surrey,1287,0.005987384,0.000904648,0.000972294,0.004110442
Tyne and Wear,1943,0.003904633,0.00033507,0.000783403,0.002786159
Warwickshire,837,0.006237956,0.00032565,0.001700006,0.004212299
West Midlands,4796,0.004731783,0.000989808,0.000852038,0.002889937
West Sussex,1147,0.006307648,0.00103423,0.002027511,0.003245907
West Yorkshire,3934,0.005075334,0.000646297,0.000985461,0.003443575
