LOCATION_CATEGORY,INCIDENTS,TOTAL_RESPONSE_TIME,CALL_HANDLING_TIME,CREW_TURNOUT_TIME,DRIVE_TIME
Avon,1775,8.36982144,1.51756704,1.9495296,4.90272336
Bedfordshire,1204,8.09651088,0.9681336,2.4733656,4.65501024
Berkshire,1114,8.5196592,1.32784272,1.59174144,5.60007504
Buckinghamshire,1233,10.18513008,1.85748768,1.87138368,6.45625872
Cambridgeshire,1023,10.37494224,1.03747104,3.00426768,6.33320208
Cheshire,1393,9.05052672,1.4740848,1.93635936,5.64008112
Cleveland,701,6.1987392,0.8458632,1.21871088,4.13416512
Cornwall,752,10.96174656,1.80873216,2.8541664,6.29884656
Cumbria,764,9.54733824,1.22892624,2.2953528,6.02305776
Derbyshire,1436,8.7110136,0.5952528,1.8904824,6.2252784
Devon,2683,9.99082512,1.59162624,3.01972896,5.37946848
Somerset,2683,9.99082512,1.59162624,3.01972896,5.37946848
Wiltshire,2050,9.40794336,1.15167456,2.8369512,5.41931616
Dorset,2050,9.40794336,1.15167456,2.8369512,5.41931616
Durham,971,8.6027976,0.93894624,1.84083408,5.82301728
East Sussex,1218,7.35381792,0.60242112,1.98338832,4.76800704
Essex,2589,8.94393504,1.07419104,2.88369936,4.9860432
Gloucestershire,947,9.53250624,1.13021856,2.57270256,5.82958368
Greater London,12523,7.09758,1.39811184,1.2914568,4.40800992
Greater Manchester,5633,7.16139936,1.51481664,1.23620256,4.41037872
Hampshire and Isle of Wight,2496,7.76518992,0.9992592,1.91395584,4.85197632
Worcestershire,1093,9.49760496,0.92386368,2.95995744,5.61378384
Herefordshire,1093,9.49760496,0.92386368,2.95995744,5.61378384
Hertfordshire,1537,8.07302016,1.21084272,2.03513328,4.82704416
Humberside,1652,8.12204352,1.456164,2.00546784,4.66041168
Kent,2223,7.84029744,0.45215856,2.00853216,5.37960672
Lancashire,2680,7.52498784,1.35621216,1.35281664,4.8159576
Leicestershire,1332,8.44017696,1.18653552,2.27219616,4.98144384
Lincolnshire,1188,10.26534816,0.88177536,3.15837504,6.22519632
Merseyside,2910,6.72777216,1.35510912,1.55948976,3.81317328
Norfolk,1372,9.12212064,1.07395488,2.1732264,5.87493936
North Yorkshire,1171,10.51009056,1.39510368,2.9697408,6.14524608
Northamptonshire,1161,9.31039344,1.23934752,2.49265008,5.5783944
Northumberland,578,9.67283712,0.89538624,2.55383424,6.2236152
Nottinghamshire,1890,7.54357104,0.9122832,1.36418832,5.26709808
Oxfordshire,943,10.06210656,1.2021552,3.2882112,5.57173872
Shropshire,788,9.81956448,1.05702192,2.6905248,6.07201776
South Yorkshire,2358,7.86026304,1.3009536,1.18951056,5.36979744
Staffordshire,1674,8.97619392,0.92253024,2.38520448,5.66845776
Suffolk,1139,10.06813008,1.13151888,3.46397328,5.47263648
Surrey,1287,8.62183296,1.30269312,1.40010336,5.91903648
Tyne and Wear,1943,5.62267152,0.4825008,1.12810032,4.01206896
Warwickshire,837,8.98265664,0.468936,2.44800864,6.06571056
West Midlands,4796,6.81376752,1.42532352,1.22693472,4.16150928
West Sussex,1147,9.08301312,1.4892912,2.91961584,4.67410608
West Yorkshire,3934,7.30848096,0.93066768,1.41906384,4.958748
