FINANCIAL_YEAR,FIRE_TYPE,LOCATION_CATEGORY,INCIDENTS,TOTAL_RESPONSE_TIME,CALL_HANDLING_TIME,CREW_TURNOUT_TIME,DRIVE_TIME
2010/11,Primary,Avon,1775,0.005812376,0.001053866,0.00135384,0.003404669
2010/11,Dwellings,Avon,647,0.005254594,0.000909951,0.001201539,0.003143103
2010/11,Other Buildings,Avon,410,0.005586325,0.001060016,0.001314363,0.003211946
2010/11,Other Outdoors,Avon,135,0.006853995,0.001373714,0.001562585,0.003917695
2010/11,Road Vehicles,Avon,583,0.006349164,0.001135192,0.001502287,0.003711684
2010/11,Primary,Bedfordshire,1204,0.005622577,0.000672315,0.001717615,0.003232646
2010/11,Dwellings,Bedfordshire,414,0.005152084,0.000633834,0.001595041,0.002923208
2010/11,Other Buildings,Bedfordshire,277,0.005385788,0.000671212,0.001581386,0.003133189
2010/11,Other Outdoors,Bedfordshire,189,0.006185516,0.000740863,0.001902618,0.003542034
2010/11,Road Vehicles,Bedfordshire,324,0.006097822,0.000682441,0.001882787,0.003532593
2010/11,Primary,Berkshire,1114,0.00591643,0.000922113,0.001105376,0.003888941
2010/11,Dwellings,Berkshire,420,0.005259011,0.000743138,0.000962494,0.003553378
2010/11,Other Buildings,Berkshire,302,0.005837472,0.000975556,0.001077577,0.003784339
2010/11,Other Outdoors,Berkshire,38,0.008770102,0.002337658,0.00146808,0.004964364
2010/11,Road Vehicles,Berkshire,354,0.00645745,0.000936911,0.001259678,0.004260861
2010/11,Primary,Buckinghamshire,1233,0.007073007,0.001289922,0.001299572,0.004483513
2010/11,Dwellings,Buckinghamshire,390,0.006627255,0.001189399,0.001203407,0.004234449
2010/11,Other Buildings,Buckinghamshire,312,0.006532748,0.001354908,0.001108737,0.004069103
2010/11,Other Outdoors,Buckinghamshire,160,0.007792173,0.001404658,0.001481047,0.004906467
2010/11,Road Vehicles,Buckinghamshire,371,0.007685778,0.001291461,0.001482885,0.004911432
2010/11,Primary,Cambridgeshire,1023,0.007204821,0.000720466,0.002086297,0.004398057
2010/11,Dwellings,Cambridgeshire,312,0.00690783,0.000698599,0.001928456,0.004280775
2010/11,Other Buildings,Cambridgeshire,279,0.006726155,0.00068453,0.001902504,0.004139121
2010/11,Other Outdoors,Cambridgeshire,76,0.00998142,0.000995979,0.002618177,0.006367263
2010/11,Road Vehicles,Cambridgeshire,356,0.007247483,0.000708977,0.002255124,0.004283383
2010/11,Primary,Cheshire,1393,0.006285088,0.00102367,0.001344694,0.003916723
2010/11,Dwellings,Cheshire,513,0.005880419,0.000918661,0.001235335,0.003726423
2010/11,Other Buildings,Cheshire,306,0.005928762,0.001081835,0.001350498,0.003496429
2010/11,Other Outdoors,Cheshire,95,0.007246467,0.001168494,0.001407651,0.004670321
2010/11,Road Vehicles,Cheshire,479,0.006755441,0.001070251,0.001445623,0.004239566
2010/11,Primary,Cleveland,701,0.00430468,0.000587405,0.000846327,0.002870948
2010/11,Dwellings,Cleveland,276,0.004004336,0.00052771,0.000756005,0.00272062
2010/11,Other Buildings,Cleveland,154,0.00422108,0.000636499,0.000782001,0.002802579
2010/11,Other Outdoors,Cleveland,58,0.005021352,0.000708213,0.000936103,0.003377035
2010/11,Road Vehicles,Cleveland,213,0.004559153,0.000596363,0.000985426,0.002977362
2010/11,Primary,Cornwall,752,0.007612324,0.001256064,0.00198206,0.004374199
2010/11,Dwellings,Cornwall,298,0.007155729,0.001139852,0.001726945,0.004288932
2010/11,Other Buildings,Cornwall,173,0.007111432,0.001175805,0.001852788,0.004082838
2010/11,Other Outdoors,Cornwall,71,0.008304153,0.00150952,0.002375293,0.00441934
2010/11,Road Vehicles,Cornwall,210,0.008438988,0.0014014,0.002317625,0.004719962
2010/11,Primary,Cumbria,764,0.006630096,0.000853421,0.001593995,0.004182679
2010/11,Dwellings,Cumbria,278,0.00583275,0.00073462,0.001408914,0.003689215
2010/11,Other Buildings,Cumbria,172,0.006016096,0.000811262,0.001482625,0.003722209
2010/11,Other Outdoors,Cumbria,85,0.007075708,0.000977805,0.001728758,0.004369145
2010/11,Road Vehicles,Cumbria,229,0.007893822,0.000983139,0.001852307,0.005058376
2010/11,Primary,Derbyshire,1436,0.006049315,0.00041337,0.001312835,0.00432311
2010/11,Dwellings,Derbyshire,563,0.005693745,0.00034309,0.001254399,0.004096256
